"","Date","Site","Stream","Q","TN_Load","TP_Load","Nitrate_Load","Ammonium_Load","SRP_Load","DOC_Load"
"624",2021-06-01,"42","FM_Branch",0.0512583939381505,0.152728015934604,0.000853452259070205,0.133271824239191,-0.000604849048470175,0.35778358968829,0.0986054185372847
"625",2021-06-09,"0","BD",38.2766990291262,291.817637959684,NA,256.836650485437,5.44218106796117,1420.06553398058,158.483928664554
"626",2021-06-09,"2","LF",0.841931248162998,7.79231870795142,NA,7.68683229572818,0.0277668925644157,76.363164208384,2.41925934039918
"627",2021-06-09,"5","LF",0.841931248162998,8.07692215738258,NA,7.59421985843025,0.0326500938037611,69.4593279734474,2.36302805111177
"628",2021-06-09,"8","FM",1.11143809949067,9.46992959132382,NA,8.0023543163328,0.0604400038503025,166.7157149236,5.37913256500874
"629",2021-06-09,"11","FM",1.11143809949067,8.88186710493256,NA,7.92455364936846,0.031320325643647,144.486952933787,5.0025182051719
"630",2021-06-09,"14","EF",0.255975308693696,1.88004910372806,NA,1.68431753120452,-0.00195053185224596,25.5719333385002,0.89292146677906
"631",2021-06-09,"16","MB",0.153403504577344,0.97789097647748,NA,0.882070151319731,0.00475244057180613,11.8120698524555,0.563445146280524
"632",2021-06-09,"19","MB",0.153403504577344,1.10865822018788,NA,0.984850499386551,0.00406212480120808,9.02012606914785,0.607440886882587
"633",2021-06-09,"22","DE",0.648081534772182,3.85505643077818,NA,3.57092925659472,-0.00292932853717026,41.9956834532374,1.69864967763481
"634",2021-06-09,"24","DE",0.648081534772182,4.22653173739688,NA,4.03106714628297,0.000699928057553957,42.4493405275779,1.59680411065625
"635",2021-06-09,"42","FM_Branch",0.853528888503858,8.22581566794823,NA,7.08428977458202,0.0361725542947935,135.711093272113,4.2356950698335
"636",2021-06-15,"0","BD",16.8716005732308,147.968697973585,2.59706234783799,108.653107691606,3.23934731006031,312.12461060477,69.0445552538893
"637",2021-06-15,"1","BD",16.8716005732308,141.521584290281,2.48543983844549,108.484391685874,1.57074601336779,236.202408025231,67.1720319616357
"638",2021-06-15,"2","LF",0.382437450123824,4.12975114170707,0.019229337429676,3.5604926606528,-0.0251261404731353,14.7620855747796,0.753722217095355
"639",2021-06-15,"4","LF",0.382437450123824,4.12413036671761,0.0189340957181804,3.57579015865776,-0.0108612235835166,15.0297917898663,0.76536654985297
"640",2021-06-15,"5","LF",0.382437450123824,4.13537191669653,0.0201150625641628,3.59491203116395,-0.0219519096371075,15.297498004953,0.775132764423873
"641",2021-06-15,"6","LF",0.382437450123824,4.33771977424889,0.0243318178892281,3.64462889968004,-0.00933147378302131,15.5269604750273,0.760107818930176
"642",2021-06-15,"8","FM",0.191992759414621,1.50041607820594,0.00965358793612653,1.31131054680186,-0.00961883724667249,7.37252196152143,0.469278338761214
"643",2021-06-15,"10","FM",0.191992759414621,1.50041607820594,0.00961134952905532,1.313230474396,-0.000146874460952185,7.31492413369704,0.479838374244761
"644",2021-06-15,"11","FM",0.191992759414621,1.48630726296093,0.00895492628461673,1.313230474396,-0.00723812702993119,7.23812702993119,0.472672635880925
"645",2021-06-15,"12","FM_Branch",0.147440839592458,1.17608122970348,0.00799881298873043,1.03650910233498,-0.00614828301100549,5.75019274410586,0.381959573612191
"646",2021-06-15,"14","EF",0.0442178524207813,0.316316215598816,0.00229645416547327,0.277245934678298,-0.00125578700875019,1.99422514417723,0.0947030444529085
"647",2021-06-15,"15","EF",0.0442178524207813,0.315016455085498,0.00229645416547327,0.283436434017208,-0.00205170835232425,1.90136765409359,0.0974825664782979
"648",2021-06-15,"16","MB",0.0960354413722826,0.46539926632453,0.00569711048852792,0.400467790522418,-0.0057429193940625,4.69613308310462,0.257749798685288
"649",2021-06-15,"18","MB",0.0960354413722826,0.551498060117518,0.00614185061752296,0.460009764173233,-0.00514749965755434,4.62890827414402,0.278029544000315
"650",2021-06-15,"19","MB",0.0960354413722826,0.586784450981649,0.00538998914701936,0.483058270102581,-0.00467692599483016,3.8414176548913,0.294630637839592
"651",2021-06-15,"20","MB",0.0960354413722826,0.612190652350042,0.00616307445006623,0.570450521751358,0.00506106776031929,4.57128700932065,0.290291715586144
"652",2021-06-15,"22","DE",0.320888888888889,2.02668404193867,0.0145070657777778,1.76809777777778,-0.0178093333333333,12.8676444444444,0.447414207510331
"653",2021-06-15,"23","DE",0.320888888888889,2.12572382268178,0.0162761262222222,1.91249777777778,-0.00956248888888889,13.6698666666667,0.459390731149298
"654",2021-06-15,"24","DE",0.320888888888889,2.16816944281689,0.0189651751111111,1.96384,-0.0152422222222222,15.4026666666667,0.465378992968781
"655",2021-06-15,"25","DE",0.320888888888889,2.36153282393156,0.0186468533333333,2.11786666666667,-0.0224301333333333,16.4295111111111,0.452772125980395
"656",2021-06-15,"40","EF",0.0442178524207813,0.315016455085498,0.00376890865108529,0.266191471573103,-0.000866669907447313,1.92347658030398,0.0975259965099446
"657",2021-06-15,"41","FM_Branch",0.147440839592458,1.16958031096201,0.00754351567606892,1.00996975120834,-0.00513094121781753,5.61749598847264,0.374284436108114
"658",2021-06-15,"42","FM_Branch",0.147440839592458,1.13924268962788,0.00803124997344077,1.00849534281241,-0.00558800782055415,5.69121640826887,0.369071135161949
"659",2021-06-29,"0","BD",1.18107612447504,8.65383836431148,0.0714824450808693,7.19275359805299,0.0196058636662857,5.62192235250119,5.05146735082696
"660",2021-06-29,"1","BD",1.18107612447504,8.52154196234501,0.0575220390710172,7.16913207556349,-0.0165350657426506,5.06681657399792,4.98650549590465
"661",2021-06-29,"2","LF",0.162836855108297,1.2751981666867,0.00981975555952251,1.14637145996241,-0.0067414458014835,7.60448113355748,0.357390365889377
"662",2021-06-29,"4","LF",0.162836855108297,1.21363844819899,0.00948114332130958,1.15614167126891,-0.0071811053102759,7.7836016741766,0.357710237135195
"663",2021-06-29,"5","LF",0.162836855108297,1.27291817714926,0.0106217321188734,1.15451330271783,-0.00755563007702499,8.07670801337154,0.357230430266469
"664",2021-06-29,"6","LF",0.162836855108297,1.24555830221156,0.0103365849194824,1.17405372533082,-0.0130106647231529,7.9464385292849,0.358669850872647
"665",2021-06-29,"8","FM",0.0763126419753062,0.434133666129984,0.00294827214915423,0.416667025185172,-0.00415903898765419,2.48779212839498,0.155646555883942
"666",2021-06-29,"10","FM",0.0763126419753062,0.460846296333867,0.00319048145402079,0.415140772345666,-0.00306776820740731,2.51068592098757,0.15752038075025
"667",2021-06-29,"11","FM",0.0763126419753062,0.442681707825751,0.00308190489539531,0.418193278024678,-0.00512820954074058,2.49542339259251,0.155421696899985
"668",2021-06-29,"12","FM_Branch",0.0586042934049364,0.37852367050768,0.00250785581324489,0.339318858814582,-0.00389132508208778,1.81087266621254,0.119759013200046
"669",2021-06-29,"14","EF",0.0175755645733328,0.0955557508185417,0.000961779834171383,0.0857687551178639,-0.00115295703601063,0.822536422031974,0.0401625643352243
"670",2021-06-29,"15","EF",0.0175755645733328,0.0992470623358955,0.00096562694950084,0.0878778228666639,-0.00122325929430396,0.794415518714642,0.0402834013046129
"671",2021-06-29,"16","MB",0.0804392398070395,0.256004469464036,0.00512374276258642,0.221207909469359,-0.00602489906154726,4.4724217332714,0.205304294884045
"672",2021-06-29,"18","MB",0.0804392398070395,0.316823833090825,0.00632984711546838,0.283950516518849,-0.00501940856395926,5.11593565172771,0.233193437489075
"673",2021-06-29,"19","MB",0.0804392398070395,0.44522026739617,0.00997457135279477,0.309691073257102,-0.00115832505322137,5.75140564620332,0.30745914300955
"674",2021-06-29,"20","MB",0.0804392398070395,0.376516912141953,0.00604812935092885,0.319343782033947,-0.00091700733380025,4.19088439394676,0.24804657859317
"675",2021-06-29,"22","DE",0.320888888888889,1.69969569672889,0.0155931559377778,1.54989333333333,-0.0187399111111111,14.5683555555556,0.449620409233298
"676",2021-06-29,"23","DE",0.320888888888889,1.82999222124978,0.0193860860293333,1.66220444444444,-0.0224622222222222,16.6862222222222,0.483028606752522
"677",2021-06-29,"24","DE",0.320888888888889,1.87042907373156,0.0199128816168889,1.69429333333333,-0.000446035555555556,18.3548444444444,0.477040344933038
"678",2021-06-29,"25","DE",0.320888888888889,1.94680979483644,0.0220551846142222,1.78735111111111,-0.0270188444444444,19.5100444444444,0.467585194691749
"679",2021-06-29,"40","EF",0.0175755645733328,0.0894035649562853,0.000940620664708242,0.082605153494664,-0.000506176259711984,0.785627736427975,0.0388851449445446
"680",2021-06-29,"41","FM_Branch",0.0586042934049364,0.352265796143829,0.00221281396320507,0.329356128935743,-0.00325253828397397,1.76398923148859,0.118607810155181
"681",2021-06-29,"42","FM_Branch",0.0586042934049364,0.374420877634665,0.00237316281131053,0.33170030067194,-0.00295951681694929,1.78157051951007,0.1192985319821
"682",2021-07-13,"0","BD",1.1103698308683,6.51887524670228,0.0616129473437466,5.96268599176278,0.230956924820607,5.35198258478521,4.46223197460851
"683",2021-07-13,"1","BD",1.1103698308683,6.76762793888894,0.0557797693372072,5.92937489683673,0.198756199725426,3.19786511290071,4.33899569019051
"684",2021-07-13,"2","LF",0.110459671709301,0.345360468951385,0.00672163483520409,0.336901998713367,0.00663862626972897,5.40147794658481,0.304491413054584
"685",2021-07-13,"4","LF",0.110459671709301,0.365466541973087,0.00681834901582556,0.341320385581739,0.00619678758289177,5.6555351915162,0.307529178846019
"686",2021-07-13,"5","LF",0.110459671709301,0.380932751955793,0.00747116965217571,0.347947965884297,0.00596482227230224,5.7659948632255,0.302538563601453
"687",2021-07-13,"6","LF",0.110459671709301,0.401038824867035,0.00737445547155424,0.388818044416739,0.00575494889605457,5.93168437078945,0.307420687123821
"688",2021-07-13,"8","FM",0.286931460663542,0.973445714390613,0.0096721998659961,0.935396561763147,0.0129979951680585,7.02982078625678,0.661595761897816
"689",2021-07-13,"10","FM",0.286931460663542,0.977463236884756,0.00995482907633845,0.926788617943241,0.0128258362916603,7.28805910085397,0.662743079437002
"690",2021-07-13,"11","FM",0.286931460663542,0.973445714390613,0.00979781272084539,0.935396561763147,0.016039468651092,7.5176042693848,0.663306717842659
"691",2021-07-13,"12","FM_Branch",0.220349015216567,0.775324944401366,0.00757246269526299,0.755797122192825,0.0122514052460411,4.40698030433134,0.491856122839877
"692",2021-07-13,"14","EF",0.0660831847054204,0.220493179992714,0.00403572473898792,0.216752845833779,0.00199419226485547,3.13895127350747,0.182752646838741
"693",2021-07-13,"15","EF",0.0660831847054204,0.241774519252532,0.00446967365057529,0.227326155386646,0.00291426844550904,3.37685073844698,0.185738313341251
